Criteria,Model Name,"Max Sensitivity at Specificity=1-Prevalence",AUC,"F1-Score Positive Class",Accuracy,Specificity,PPV,NPV,PLR,NLR
C3,ANN,0.26,0.52,0.26,0.70,0.82,0.27,0.80,1.36,0.92
C3,"VGG16-no-TL",0.18,0.48,0.18,0.68,0.82,0.20,0.78,0.91,1.02
C3,"VGG16-TL",0.18,0.45,0.18,0.67,0.81,0.19,0.78,0.88,1.03
C3,"ResNet50-no-TL",0.18,0.57,0.19,0.70,0.85,0.23,0.79,1.08,0.99
C3,"ResNet50-TL",0.23,0.57,0.23,0.68,0.80,0.23,0.79,1.11,0.97
C3,"MobileNet-no-TL",0.23,0.50,0.23,0.68,0.81,0.24,0.79,1.13,0.97
C3,"MobileNet-TL",0.15,0.48,0.15,0.67,0.81,0.17,0.78,0.76,1.06
C3,"ResNet18-no-TL",0.23,0.54,0.22,0.67,0.80,0.23,0.79,1.09,0.98
C3,"ResNet18-TL",0.22,0.46,0.21,0.67,0.80,0.22,0.79,1.03,0.99
C3,"ResNet18-TL",0.23,0.46,0.22,0.67,0.80,0.23,0.79,1.07,0.98
LBW,ANN,0.29,0.53,0.27,0.77,0.86,0.27,0.86,1.96,0.84
LBW,"VGG16-no-TL",0,0.5,0,0.84,1,0,0.84,,1
LBW,"VGG16-TL",0.15,0.5,0.14,0.73,0.85,0.14,0.84,0.9,1.02
LBW,"ResNet50-no-TL",0.19,0.51,0.18,0.74,0.85,0.19,0.85,1.21,0.96
LBW,"ResNet50-TL",0.21,0.56,0.19,0.74,0.85,0.19,0.85,1.28,0.95
LBW,"MobileNet-no-TL",0.15,0.53,0.14,0.74,0.85,0.15,0.84,0.93,1.01
LBW,"MobileNet-TL",0.21,0.59,0.19,0.74,0.85,0.19,0.85,1.28,0.95
LBW,"ResNet18-no-TL",0.19,0.51,0.19,0.75,0.86,0.20,0.85,1.32,0.95
LBW,"ResNet18-TL",0.14,0.47,0.13,0.73,0.85,0.13,0.84,0.81,1.04
PRE,ANN,0.17,0.59,0.09,0.88,0.94,0.10,0.93,1.43,0.97
PRE,"VGG16-no-TL",0.00,0.27,0.00,0.93,1.00,0.00,0.93,,1.00
PRE,"VGG16-TL",0.08,0.47,0.00,0.91,0.98,0.00,0.93,0.00,1.02
PRE,"ResNet50-no-TL",0.08,0.42,0.00,0.91,0.98,0.00,0.93,0.00,1.02
PRE,"ResNet50-TL",0.00,0.40,0.00,0.93,1.00,0.00,0.93,,1.00
PRE,"MobileNet-no-TL",0.33,0.71,0.25,0.89,0.94,0.25,0.94,4.28,0.80
PRE,"MobileNet-TL",0.00,0.29,0.00,0.93,1.00,0.00,0.93,,1.00
PRE,"ResNet18-no-TL",0.08,0.49,0.00,0.88,0.95,0.00,0.92,0.00,1.05
PRE,"ResNet18-TL",0.00,0.51,0.00,0.93,1.00,0.00,0.93,,1.00
CIR,ANN,0.17,0.58,0.13,0.92,0.99,0.33,0.93,6.42,0.93
CIR,"VGG16-no-TL",0,0.52,0,0.93,1,0,0.93,,1
CIR,"VGG16-TL",0.33,0.56,0.25,0.89,0.94,0.25,0.94,4.28,0.8
CIR,"ResNet50-no-TL",0.08,0.57,0,0.87,0.94,0,0.92,0,1.06
CIR,"ResNet50-TL",0.08,0.38,0,0.88,0.95,0,0.92,0,1.05
CIR,"MobileNet-no-TL",0.08,0.63,0,0.87,0.94,0,0.92,0,1.07
CIR,"MobileNet-TL",0,0.49,0,0.93,1,0,0.93,,1
CIR,"ResNet18-no-TL",0.08,0.56,0,0.89,0.96,0,0.92,0,1.04
CIR,"ResNet18-TL",0,0.41,0,0.93,1,0,0.93,,1
