Model Name,Max Sensitivity,AUC,F1-Score Pos Class,Accuracy,Sensitivity,Specificity,PPV,NPV,PLR,NLR
C3_HOG_SVC,0.27,0.55,0.26,0.68,0.26,0.8,0.26,0.8,1.29,0.93
C3_HOG_SVC-no-CW,0.25,0.55,0.24,0.68,0.24,0.8,0.24,0.8,1.17,0.96
C3_HOG_XGBOOST,0.29,0.52,0.28,0.69,0.28,0.8,0.28,0.81,1.43,0.89
C3_HOG_XGBOOST-no-CW,0.22,0.54,0.21,0.67,0.21,0.79,0.21,0.79,1.01,1
C3_HOG_LR,0.27,0.55,0.26,0.69,0.26,0.8,0.26,0.8,1.33,0.92
C3_HOG_LR-no-CW,0.3,0.55,0.29,0.69,0.29,0.8,0.28,0.81,1.45,0.89
C3_GLCM_SVC,0.29,0.52,0.27,0.68,0.28,0.79,0.27,0.8,1.36,0.91
C3_GLCM_SVC-no-CW,0.15,0.47,0.14,0.65,0.14,0.79,0.15,0.77,0.64,1.09
C3_GLCM_XGBOOST,0.23,0.5,0.22,0.68,0.22,0.8,0.23,0.79,1.1,0.98
C3_GLCM_XGBOOST-no-CW,0.17,0.45,0.16,0.66,0.16,0.79,0.17,0.78,0.75,1.06
C3_GLCM_LR,0.17,0.5,0.16,0.66,0.16,0.8,0.17,0.78,0.76,1.06
C3_GLCM_LR-no-CW,0.15,0.47,0.14,0.66,0.14,0.8,0.15,0.77,0.66,1.09
LBW_HOG_SVC,0.1,0.44,0.1,0.72,0.09,0.84,0.1,0.83,0.59,1.08
LBW_HOG_SVC-no-CW,0.13,0.44,0.13,0.76,0.11,0.88,0.15,0.84,0.94,1.01
LBW_HOG_XGBOOST,0.13,0.53,0.12,0.73,0.11,0.85,0.13,0.83,0.77,1.04
LBW_HOG_XGBOOST-no-CW,0.16,0.53,0.15,0.73,0.15,0.85,0.16,0.84,0.97,1
LBW_HOG_LR,0.15,0.55,0.15,0.75,0.14,0.87,0.17,0.84,1.07,0.99
LBW_HOG_LR-no-CW,0.17,0.55,0.17,0.75,0.16,0.87,0.19,0.84,1.2,0.97
LBW_GLCM_SVC,0.11,0.51,0.12,0.75,0.1,0.87,0.13,0.84,0.81,1.03
LBW_GLCM_SVC-no-CW,0.15,0.52,0.14,0.73,0.14,0.84,0.14,0.84,0.87,1.02
LBW_GLCM_XGBOOST,0.2,0.52,0.18,0.74,0.18,0.85,0.19,0.84,1.2,0.96
LBW_GLCM_XGBOOST-no-CW,0.21,0.52,0.2,0.74,0.2,0.85,0.2,0.85,1.29,0.95
LBW_GLCM_LR,0.13,0.51,0.12,0.74,0.11,0.86,0.14,0.84,0.82,1.03
LBW_GLCM_LR-no-CW,0.15,0.48,0.15,0.75,0.14,0.86,0.16,0.84,1,1
CIR_HOG_SVC,0.19,0.58,0.15,0.89,0.14,0.94,0.15,0.94,2.55,0.91
CIR_HOG_SVC-no-CW,0.1,0.55,0.06,0.9,0.05,0.96,0.08,0.94,1.32,0.99
CIR_HOG_XGBOOST,0,0.5,0,0.94,0,1,0,0.94,0,1
CIR_HOG_XGBOOST-no-CW,0,0.47,0,0.94,0,1,0,0.94,0,1
CIR_HOG_LR,0.24,0.61,0.18,0.89,0.19,0.94,0.17,0.94,3.05,0.86
CIR_HOG_LR-no-CW,0.24,0.59,0.18,0.89,0.19,0.94,0.17,0.94,3.05,0.86
CIR_GLCM_SVC,0,0.46,0,0.94,0,1,0,0.94,0,1
CIR_GLCM_SVC-no-CW,0,0.52,0,0.94,0,1,0,0.94,0,1
CIR_GLCM_XGBOOST,0.05,0.5,0,0.94,0,1,0,0.94,0,1
CIR_GLCM_XGBOOST-no-CW,0.05,0.49,0,0.94,0,1,0,0.94,0,1
CIR_GLCM_LR,0.05,0.45,0,0.89,0,0.95,0,0.93,0,1.05
CIR_GLCM_LR-no-CW,0,0.39,0,0.94,0,1,0,0.94,0,1
PRE_HOG_SVC,0.05,0.52,0,0.91,0,0.98,0,0.93,0,1.02
PRE_HOG_SVC-no-CW,0.1,0.54,0.06,0.9,0.05,0.96,0.07,0.94,1.11,0.99
PRE_HOG_XGBOOST,0.1,0.49,0.07,0.92,0.05,0.98,0.14,0.94,2.41,0.97
PRE_HOG_XGBOOST-no-CW,0.05,0.54,0,0.9,0,0.96,0,0.93,0,1.04
PRE_HOG_LR,0.1,0.47,0.05,0.88,0.05,0.94,0.05,0.93,0.8,1.01
PRE_HOG_LR-no-CW,0.1,0.48,0.06,0.9,0.05,0.96,0.08,0.94,1.21,0.99
PRE_GLCM_SVC,0.19,0.59,0.14,0.89,0.14,0.94,0.14,0.94,2.29,0.91
PRE_GLCM_SVC-no-CW,0.05,0.36,0,0.89,0,0.95,0,0.93,0,1.05
PRE_GLCM_XGBOOST,0,0.46,0,0.94,0,1,0,0.94,0,1
PRE_GLCM_XGBOOST-no-CW,0.05,0.46,0,0.89,0,0.95,0,0.93,0,1.05
PRE_GLCM_LR,0.05,0.43,0,0.9,0,0.97,0,0.93,0,1.03
PRE_GLCM_LR-no-CW,0.05,0.48,0,0.92,0,0.99,0,0.93,0,1.01
