Model Name,Max Sensitivity,AUC,F1-Score Pos Class,Accuracy,Sensitivity,Specificity,PPV,NPV,PLR,NLR
C3-SVC-noaug-poly,0.29,0.51,0.28,0.69,0.28,0.8,0.28,0.81,1.43,0.89
C3-SVC-noaug-linear,0.27,0.54,0.26,0.69,0.26,0.81,0.27,0.8,1.35,0.92
CIR-SVC-noaug-poly,0.1,0.55,0.05,0.89,0.05,0.95,0.06,0.94,0.9,1.01
CIR-SVC-noaug-linear,0.05,0.52,0,0.91,0,0.97,0,0.93,0,1.03
PRE-SVC-noaug-poly,0.05,0.45,0,0.88,0,0.94,0,0.93,0,1.07
PRE-SVC-noaug-linear,0.05,0.57,0,0.88,0,0.94,0,0.93,0,1.06
PESO-SVC-noaug-poly,0.16,0.46,0.15,0.73,0.15,0.85,0.16,0.84,0.97,1
PESO-SVC-noaug-linear,0.16,0.5,0.15,0.74,0.15,0.85,0.16,0.84,0.99,1
CIR-SVC-aug-poly,0.1,0.63,0.05,0.89,0.05,0.94,0.06,0.93,0.85,1.01
CIR-SVC-aug-linear,0.14,0.56,0.11,0.9,0.1,0.95,0.12,0.94,2.07,0.95
C3-SVC-aug-poly,0,0.5,0,0.79,0,1,0,0.79,0,1
C3-SVC-aug-linear,0.19,0.51,0.18,0.66,0.18,0.8,0.19,0.78,0.87,1.03
LBW-SVC-aug-poly,0.2,0.54,0.19,0.74,0.18,0.85,0.19,0.85,1.23,0.96
LBW-SVC-aug-linear,0.15,0.49,0.14,0.73,0.14,0.84,0.14,0.84,0.86,1.03
PRE-SVC-aug-poly,0,0.5,0,0.94,0,1,0,0.94,0,1
PRE-SVC-aug-linear,0.05,0.5,0,0.92,0,0.98,0,0.93,0,1.02
